id,name,type,count,trigger,cost,effect,restriction,public_information,notes,status
C23,藏锋符,一次性符箓,1,有效贡献排序开始前,打出并弃置,本轮你的灵力在对应修台或抗劫排序中最先填入,只影响你当前选择的公共行动,打出后公开,自助,draft
C24,封灵符,一次性符箓,1,揭晓后,打出并弃置,选择一名玩家；其本轮不能在常规机缘窗口主动打牌,仍可使用反应牌和人物神通,打出后公开,小幅暗算,draft
C25,窥天简,一次性奇物,1,揭示本轮天劫后,打出并弃置,秘密查看下一张天劫牌并原样放回,第8轮不能使用,打出后公开,信息,draft
C26,探云尺,一次性奇物,1,你将执行探索时且抽牌前,打出并弃置,本次探索额外抽1张但仍只保留1张,符修使用时共抽4张,打出后公开,探索,draft
C27,燃灵诀,一次性秘术,1,揭晓后且你选择修台或抗劫,打出并弃置且支付1灵力,你所选公共行动增加2点虚拟贡献,不能用于另一项行动且不产生功德,打出后公开,支援,draft
C28,借功诀,一次性秘术,1,抗劫功德结算后且分配雷击前,打出并弃置,把你的1功德交给本轮有有效公共贡献的另一名玩家,你至少要有1功德,打出后公开,交易式支援,draft
C29,逆行诀,一次性秘术,1,揭晓后且你选择修炼,打出并弃置,把本轮行动改为修台或抗劫且投入量不变,不能改为探索,打出后公开,应变,draft
C30,禁宝咒,一次性秘术,1,揭晓后,打出并弃置,选择一名玩家；其法宝文字本轮失效,不弃掉该法宝,打出后公开,小幅暗算,draft
C31,寄雷咒,一次性秘术,1,建立本轮受击顺序前,打出并弃置,只在决定受击顺序时把你的抗劫投入视为增加2,不抵消劫力且不产生功德,打出后公开,自助,draft
C32,牵机索,一次性奇物,1,另一名玩家探索并弃置机缘牌后,打出并弃置且支付2灵力,把其刚弃置的那张牌横置加入你的手牌,新获得的牌本轮不能使用,打出后公开,机缘回收,draft
E09,悟道蒲团,持续法宝,1,你选择修炼且投入至少2灵力,装备后持续,本轮额外增加1修为,修为最高9,装备后公开,修炼,draft
E10,功德碑,持续法宝,1,你本轮在一个公共行动中恰好有3点有效贡献,装备后持续,额外获得1功德,每轮一次且虚拟贡献不计,装备后公开,计分,draft
E11,遁天梭,持续法宝,1,建立受击顺序且比较修为时,装备后持续,只为受击排序把你的修为视为0,不改变真实修为和其他比较,装备后公开,防御,draft
E12,观星盘,持续法宝,1,揭示本轮天劫后,装备后持续,你可以秘密查看下一张天劫牌并原样放回,每轮一次且第8轮无效果,装备后公开,信息,draft
E13,寻宝鼠,持续法宝,1,你完成探索后,装备后持续,获得1灵力,受储存上限限制,装备后公开,探索,draft
E14,镇魂铃,持续法宝,1,你将因雷击失去修为时,装备后持续且弃1张手牌,防止这次修为损失且雷击视为已承受,每轮一次且不能弃掉已装备法宝,装备后公开,防御,draft
E15,山河图,持续法宝,1,装备后,装备后持续,你的灵力储存上限改为8,失去本法宝时立即弃掉超过6的灵力,装备后公开,资源,draft
E16,天罗伞,持续法宝,1,另一名玩家的机缘牌或本命神通以你为目标并结算后,装备后持续,若来源玩家有灵力则其交给你1灵力,每轮一次且不阻止原效果,装备后公开,反制,draft
